|  -915.499658927968 |   245.133920199347 

[  0  0  0  0  0  0  0  0  0 ] (0.00000213)
[  0  0  0  0  0  0  0  0  1 ] (0.00003231)
[  0  0  0  0  0  0  0  0  2 ] (0.00000147)
[  0  0  0  0  0  0  0  0  3 ] (0.00594744)
[  0  0  0  0  0  0  0  0  4 ] (0.00000209)
[  0  0  0  0  0  0  0  1  0 ] (0.00005128)
[  0  0  0  0  0  0  0  1  1 ] (0.00040403)
[  0  0  0  0  0  0  0  1  2 ] (0.02717775)
[  0  0  0  0  0  0  0  1  3 ] (0.00012793)
[  0  0  0  0  0  0  0  2  0 ] (0.00003043)
[  0  0  0  0  0  0  0  2  1 ] (0.00011144)
[  0  0  0  0  0  0  0  2  2 ] (0.00008991)
[  0  0  0  0  0  0  0  3  0 ] (0.00000652)
[  0  0  0  0  0  0  0  3  1 ] (0.00000253)
[  0  0  0  0  0  0  0  4  0 ] (0.00036059)
[  0  0  0  0  0  0  1  0  0 ] (0.00000239)
[  0  0  0  0  0  0  1  0  1 ] (0.00095484)
[  0  0  0  0  0  0  1  0  2 ] (0.00061590)
[  0  0  0  0  0  0  1  0  3 ] (0.00000861)
[  0  0  0  0  0  0  1  1  0 ] (0.00000064)
[  0  0  0  0  0  0  1  1  1 ] (0.00008462)
[  0  0  0  0  0  0  1  1  2 ] (0.00033734)
[  0  0  0  0  0  0  1  2  0 ] (0.00003573)
[  0  0  0  0  0  0  1  2  1 ] (0.00003375)
[  0  0  0  0  0  0  1  3  0 ] (0.00033402)
[  0  0  0  0  0  0  2  0  0 ] (0.00005096)
[  0  0  0  0  0  0  2  0  1 ] (0.00087694)
[  0  0  0  0  0  0  2  0  2 ] (0.00078825)
[  0  0  0  0  0  0  2  1  0 ] (0.00005897)
[  0  0  0  0  0  0  2  1  1 ] (0.00021203)
[  0  0  0  0  0  0  2  2  0 ] (0.00141628)
[  0  0  0  0  0  0  3  0  0 ] (0.00000235)
[  0  0  0  0  0  0  3  0  1 ] (0.00145104)
[  0  0  0  0  0  0  3  1  0 ] (0.00030380)
[  0  0  0  0  0  0  4  0  0 ] (0.04785928)
[  0  0  0  0  0  1  0  0  0 ] (0.00000970)
[  0  0  0  0  0  1  0  0  1 ] (0.00001989)
[  0  0  0  0  0  1  0  0  2 ] (0.00006703)
[  0  0  0  0  0  1  0  0  3 ] (0.00059461)
[  0  0  0  0  0  1  0  1  0 ] (0.00003414)
[  0  0  0  0  0  1  0  1  1 ] (0.00108391)
[  0  0  0  0  0  1  0  1  2 ] (0.00012782)
[  0  0  0  0  0  1  0  2  0 ] (0.00000311)
[  0  0  0  0  0  1  0  2  1 ] (0.00002826)
[  0  0  0  0  0  1  0  3  0 ] (0.00016189)
[  0  0  0  0  0  1  1  0  0 ] (0.00001313)
[  0  0  0  0  0  1  1  0  1 ] (0.00070125)
[  0  0  0  0  0  1  1  0  2 ] (0.00006673)
[  0  0  0  0  0  1  1  1  0 ] (0.00000062)
[  0  0  0  0  0  1  1  1  1 ] (0.00000445)
[  0  0  0  0  0  1  1  2  0 ] (0.00007971)
[  0  0  0  0  0  1  2  0  0 ] (0.00005833)
[  0  0  0  0  0  1  2  0  1 ] (0.00000824)
[  0  0  0  0  0  1  2  1  0 ] (0.00008818)
[  0  0  0  0  0  1  3  0  0 ] (0.00042160)
[  0  0  0  0  0  2  0  0  0 ] (0.00000300)
