|  -881.801888931646 |   237.832355820360 

[  0  0  0  0  0  0  0  0  0 ] (0.00000214)
[  0  0  0  0  0  0  0  0  1 ] (0.00000614)
[  0  0  0  0  0  0  0  0  2 ] (0.00004175)
[  0  0  0  0  0  0  0  0  3 ] (0.00008860)
[  0  0  0  0  0  0  0  0  4 ] (0.00001008)
[  0  0  0  0  0  0  0  0  5 ] (0.00000002)
[  0  0  0  0  0  0  0  1  0 ] (0.00001296)
[  0  0  0  0  0  0  0  1  1 ] (0.00000339)
[  0  0  0  0  0  0  0  1  2 ] (0.00061590)
[  0  0  0  0  0  0  0  1  3 ] (0.00000032)
[  0  0  0  0  0  0  0  1  4 ] (0.00000235)
[  0  0  0  0  0  0  0  2  0 ] (0.00000156)
[  0  0  0  0  0  0  0  2  1 ] (0.00007728)
[  0  0  0  0  0  0  0  2  2 ] (0.00002900)
[  0  0  0  0  0  0  0  2  3 ] (0.00000473)
[  0  0  0  0  0  0  0  3  0 ] (0.00000805)
[  0  0  0  0  0  0  0  3  1 ] (0.00791155)
[  0  0  0  0  0  0  0  3  2 ] (0.00040363)
[  0  0  0  0  0  0  0  4  0 ] (0.00018586)
[  0  0  0  0  0  0  0  4  1 ] (0.00005425)
[  0  0  0  0  0  0  0  5  0 ] (0.00002853)
[  0  0  0  0  0  0  1  0  0 ] (0.00000068)
[  0  0  0  0  0  0  1  0  1 ] (0.00018768)
[  0  0  0  0  0  0  1  0  2 ] (0.00013849)
[  0  0  0  0  0  0  1  0  3 ] (0.00001868)
[  0  0  0  0  0  0  1  0  4 ] (0.00000046)
[  0  0  0  0  0  0  1  1  0 ] (0.00000825)
[  0  0  0  0  0  0  1  1  1 ] (0.00072865)
[  0  0  0  0  0  0  1  1  2 ] (0.00093628)
[  0  0  0  0  0  0  1  1  3 ] (0.00016313)
[  0  0  0  0  0  0  1  2  0 ] (0.00021127)
[  0  0  0  0  0  0  1  2  1 ] (0.01525774)
[  0  0  0  0  0  0  1  2  2 ] (0.00055890)
[  0  0  0  0  0  0  1  3  0 ] (0.00001782)
[  0  0  0  0  0  0  1  3  1 ] (0.00013422)
[  0  0  0  0  0  0  1  4  0 ] (0.00000017)
[  0  0  0  0  0  0  2  0  0 ] (0.00008550)
[  0  0  0  0  0  0  2  0  1 ] (0.00024501)
[  0  0  0  0  0  0  2  0  2 ] (0.00380452)
[  0  0  0  0  0  0  2  0  3 ] (0.00014918)
[  0  0  0  0  0  0  2  1  0 ] (0.00084181)
[  0  0  0  0  0  0  2  1  1 ] (0.00387021)
[  0  0  0  0  0  0  2  1  2 ] (0.00027557)
[  0  0  0  0  0  0  2  2  0 ] (0.00001548)
[  0  0  0  0  0  0  2  2  1 ] (0.00009007)
[  0  0  0  0  0  0  2  3  0 ] (0.02779987)
[  0  0  0  0  0  0  3  0  0 ] (0.00000320)
[  0  0  0  0  0  0  3  0  1 ] (0.00000044)
