|         E          |        E-E0        |          max config      
+--------------------+--------------------+--------------------------
| -1118.909144898425 |     0.000000000000 | [  0  0  0  0  0  0  0  0  0 ] (0.9597)
| -1104.087364783276 |    14.821780115150 | [  1  0  0  0  0  0  0  0  0 ] (0.5662)
| -1101.794232681768 |    17.114912216657 | [  0  1  0  0  0  0  0  0  0 ] (0.5703)
| -1095.553784143423 |    23.355360755002 | [  0  0  1  0  0  0  0  0  0 ] (0.8547)
| -1087.735114031510 |    31.174030866915 | [  1  1  0  0  0  0  0  0  0 ] (0.6214)
| -1085.668824723450 |    33.240320174976 | [  2  0  0  0  0  0  0  0  0 ] (0.5725)
| -1082.590737200751 |    36.318407697674 | [  0  2  0  0  0  0  0  0  0 ] (0.4050)
| -1080.260653385248 |    38.648491513178 | [  1  0  1  0  0  0  0  0  0 ] (0.3515)
| -1077.099202942062 |    41.809941956363 | [  0  1  1  0  0  0  0  0  0 ] (0.3539)
| -1071.438669140958 |    47.470475757467 | [  3  0  0  0  0  0  0  0  0 ] (0.6136)
| -1071.124220655920 |    47.784924242506 | [  0  3  0  0  0  0  0  0  0 ] (0.5346)
| -1070.593138908684 |    48.316005989742 | [  0  0  2  0  0  0  0  0  0 ] (0.5963)
| -1070.249689929729 |    48.659454968697 | [  2  1  0  0  0  0  0  0  0 ] (0.4068)
| -1068.119378659911 |    50.789766238514 | [  0  0  0  0  1  0  0  0  0 ] (0.5689)
| -1067.985171520651 |    50.923973377774 | [  4  0  0  0  0  0  0  0  0 ] (0.2759)
| -1067.304992215351 |    51.604152683074 | [  0  0  0  1  0  0  0  0  0 ] (0.6167)
| -1064.158479010655 |    54.750665887771 | [  2  0  1  0  0  0  0  0  0 ] (0.2525)
| -1062.809911901061 |    56.099232997364 | [  0  0  0  0  0  1  0  0  0 ] (0.7765)
| -1061.977876467526 |    56.931268430900 | [  0  0  0  0  0  0  1  0  0 ] (0.7517)
| -1060.854917335996 |    58.054227562429 | [  1  1  1  0  0  0  0  0  0 ] (0.2089)
| -1058.038756980899 |    60.870387917527 | [  0  0  0  0  0  0  0  1  0 ] (0.8028)
| -1057.176173000494 |    61.732971897932 | [  1  2  0  0  0  0  0  0  0 ] (0.1444)
| -1053.935620981255 |    64.973523917170 | [  1  0  2  0  0  0  0  0  0 ] (0.1674)
| -1053.836527222229 |    65.072617676197 | [  0  4  0  0  0  0  0  0  0 ] (0.2388)
